Name,Destination,Cost_per_person,Activity_type,Suitable_for,
Ooty Lake Boating,Ooty,300,Hill station,Family,Couple
Meenakshi Temple Tour,Madurai,0,Temples,All,
Kodaikanal Trek,Kodaikanal,500,Trekking,Friends,
Doddabetta Peak Visit,Ooty,200,Hill station,Family,
Thirumalai Nayak Tour,Madurai,100,Temples,All,
Sunrise View,Kanyakumari,0,Beaches,All,
Brihadeeswarar Temple,Thanjavur,50,Temples,Family,
Marina Beach Walk,Chennai,0,Beaches,Couple,
Yercaud Nature Trail,Yercaud,300,Hill station,Friends,
Rameswaram Pilgrimage,Rameswaram,100,Temples,All,
Botanical Garden,Ooty,150,Hill station,Family,
Vandiyur Lake,Madurai,50,Temples,All,
Coaker's Walk,Kodaikanal,200,Hill station,Couple,
Sunset Point,Kanyakumari,0,Beaches,All,
Temple Museum,Thanjavur,80,Temples,Family,
Bessant Nagar Beach,Chennai,0,Beaches,Couple,
Yercaud Lake Boating,Yercaud,250,Hill station,Family,
Ramanathaswamy Tour,Rameswaram,100,Temples,All,
Tea Estate Tour,Ooty,300,Hill station,Family,
Alagar Kovil Visit,Madurai,50,Temples,All,
Pillar Rocks,Kodaikanal,150,Hill station,Couple,
Thiruvalluvar Statue,Kanyakumari,100,Beaches,All,
Art Gallery Tour,Thanjavur,70,Temples,Family,
Covelong Beach,Chennai,50,Beaches,Friends,
Shevaroy Temple,Yercaud,0,Temples,All,
Rose Garden,Ooty,100,Hill station,Family,
Kaveri Temple Tour,Madurai,50,Temples,All,
Bryant Park,Kodaikanal,150,Hill station,Couple,
Gandhi Memorial,Kanyakumari,50,Beaches,All,
Thanjavur Palace,Thanjavur,80,Temples,Family,
Elliot's Beach,Chennai,0,Beaches,Couple,
Yercaud Waterfall,Yercaud,200,Waterfalls,Family,
Dhanushkodi Beach,Dhanushkodi,0,Beaches,Solo,
Sri Ranganathaswamy,Trichy,50,Temples,All,
Marudhamalai Temple,Coimbatore,50,Temples,Family,
Courtallam Main Falls,Courtallam,0,Waterfalls,All,
Pine Forest,Ooty,100,Hill station,Family,
Samayapuram Temple,Madurai,50,Temples,All,
Silver Cascade,Kodaikanal,100,Hill station,Couple,
Vivekananda Rock,Kanyakumari,100,Beaches,All,
Saraswathi Mahal,Thanjavur,70,Temples,Family,
Mahabalipuram Tour,Chennai,200,Beaches,Friends,
Killiyur Falls,Yercaud,150,Waterfalls,Family,
Pamban Bridge,Rameswaram,0,Beaches,All,
Tea Garden Walk,Ooty,200,Hill station,Family,
Kuttralam Falls,Courtallam,0,Waterfalls,All,
Rock Fort Temple,Trichy,50,Temples,Family,
VOC Park,Coimbatore,100,City,Family,
Ghost Town Tour,Dhanushkodi,150,Beaches,Solo,
Kodaikanal Lake,Kodaikanal,200,Hill station,Couple,
Ooty Train Ride,Ooty,300,Hill station,Family,
Thiruparankundram,Madurai,50,Temples,All,
Bear Shola Falls,Kodaikanal,100,Hill station,Couple,
Kanyakumari Beach,Kanyakumari,0,Beaches,All,
Thanjavur Art Gallery,Thanjavur,60,Temples,Family,
Kapaleeshwarar Temple,Chennai,0,Temples,All,
Yercaud Viewpoint,Yercaud,100,Hill station,Family,
Rameswaram Beach,Rameswaram,0,Beaches,All,
Jambukeswarar Temple,Trichy,50,Temples,Family,
Black Thunder Park,Coimbatore,500,City,Friends,
Courtallam Honey Falls,Courtallam,0,Waterfalls,All,
Dhanushkodi Ruins,Dhanushkodi,100,Beaches,Solo,
Ooty Rose Park,Ooty,150,Hill station,Family,
Pazhamudircholai Temple,Madurai,50,Temples,All,
Green Valley View,Kodaikanal,100,Hill station,Couple,
Kanyakumari Ferry,Kanyakumari,150,Beaches,All,
Thanjavur Museum,Thanjavur,50,Temples,Family,
Santhome Cathedral,Chennai,0,Temples,Couple,
Pagoda Point,Yercaud,100,Hill station,Family,
Ariyalur Beach,Rameswaram,0,Beaches,All,
Trichy Museum,Trichy,50,Temples,Family,
Kovai Kutralam,Coimbatore,100,Waterfalls,Family,
Shenbagathoppu Falls,Courtallam,0,Waterfalls,All,
Dhanushkodi Sunset,Dhanushkodi,0,Beaches,Solo,
Ooty Viewpoint,Ooty,100,Hill station,Family,
Vaigai Dam Visit,Madurai,50,Temples,All,
Dolphin's Nose,Kodaikanal,150,Hill station,Couple,
Kanyakumari Temple,Kanyakumari,0,Temples,All,
Thanjavur Market Tour,Thanjavur,50,Temples,Family,
Chennai Marina Tour,Chennai,50,Beaches,Couple,
Yercaud Trek,Yercaud,300,Trekking,Friends,
Rameswaram Temple Tour,Rameswaram,50,Temples,All,
Trichy Fort,Trichy,50,Temples,Family,
Kovai Zoo,Coimbatore,100,City,Family,
Courtallam Old Falls,Courtallam,0,Waterfalls,All,
Dhanushkodi Viewpoint,Dhanushkodi,50,Beaches,Solo,
Ooty Chocolate Factory,Ooty,200,Hill station,Family,
Thirukadaiyur Temple,Madurai,50,Temples,All,
Mukkombu Dam,Kodaikanal,100,Temples,All,
Kanyakumari Sunset,Kanyakumari,0,Beaches,All,
Thanjavur Craft Tour,Thanjavur,100,Temples,Family,
Chennai Museum Tour,Chennai,50,Temples,Friends,
Yercaud Hill Walk,Yercaud,150,Hill station,Family,
Rameswaram Sunset,Rameswaram,0,Beaches,All,
Trichy Viewpoint,Trichy,50,Temples,Family,
Dindigul Fort,Coimbatore,100,Temples,Friends,
Courtallam Five Falls,Courtallam,0,Waterfalls,All,
Dhanushkodi Church,Dhanushkodi,50,Beaches,Solo,
